timestamp,ax,ay,az,gx,gy,gz,mx,my,mz
1752689879.9072406,-0.0528,0.0018,-1.0145,0.2975,-0.105,-2.975,-0.1569,0.2426,0.5317
1752689879.9609478,-0.0542,0.0037,-1.0141,0.28,-0.1663,-3.1412,-0.1592,0.2429,0.5303
1752689880.0096724,-0.0523,0.0013,-1.0144,0.175,-0.0963,-3.3163,-0.1572,0.2381,0.5306
1752689880.062997,-0.055,0.0021,-1.0129,0.1138,0.0,-3.2638,-0.1572,0.2419,0.5251
1752689880.111454,-0.0542,0.0029,-1.0116,0.3325,0.1312,-3.0975,-0.1553,0.2351,0.5344
1752689880.1660268,-0.0539,0.0046,-1.012,0.1837,-0.105,-3.0188,-0.1574,0.2433,0.5313
1752689880.2142327,-0.0561,0.0046,-1.0117,0.455,-0.105,-3.2025,-0.1533,0.2376,0.5289
1752689880.2680736,-0.0531,0.0019,-1.0139,0.2625,-0.3325,-3.115,-0.1543,0.2348,0.5263
1752689880.316601,-0.0553,0.0035,-1.0103,0.3063,-0.035,-3.1325,-0.1541,0.2363,0.531
1752689880.370143,-0.0536,0.0014,-1.0131,0.175,-0.0875,-2.8963,-0.1596,0.2359,0.5323
1752689880.4184525,-0.0519,0.004,-1.0133,0.4112,-0.1663,-3.1325,-0.1555,0.2398,0.5299
1752689880.472165,-0.0534,0.0052,-1.0147,0.21,-0.0263,-2.9838,-0.1547,0.2408,0.5404
1752689880.5205624,-0.0549,0.0034,-1.013,0.3237,-0.0613,-3.1325,-0.1551,0.2401,0.5352
1752689880.5752406,-0.0542,0.0026,-1.0141,0.175,-0.1225,-3.115,-0.1581,0.238,0.5326
1752689880.6237872,-0.055,0.0033,-1.0156,0.2275,-0.0613,-2.9838,-0.1596,0.2407,0.5232
1752689880.6772745,-0.0557,0.0024,-1.0134,0.35,-0.035,-3.185,-0.1586,0.2352,0.5438
1752689880.7256417,-0.0529,0.0018,-1.0121,0.1575,-0.1138,-3.22,-0.1537,0.2384,0.5347
1752689880.779298,-0.0526,0.0031,-1.0144,0.385,-0.105,-3.2638,-0.1526,0.2379,0.533
1752689880.8276749,-0.0559,0.0034,-1.0141,0.1138,-0.2362,-3.0625,-0.1579,0.2388,0.5326
1752689880.8815944,-0.0528,0.0055,-1.0156,0.2975,-0.14,-3.0713,-0.1581,0.238,0.5249
1752689880.9300036,-0.0546,0.0048,-1.0142,0.1575,0.07,-3.08,-0.1583,0.2415,0.5345
1752689880.9844418,-0.0536,0.0046,-1.0118,-0.0175,-0.3413,-2.975,-0.1595,0.2412,0.5279
1752689881.0328069,-0.0537,0.0026,-1.012,0.0875,0.035,-3.15,-0.1589,0.2395,0.5228
1752689881.08654,-0.0523,0.0028,-1.0114,0.2538,-0.0788,-3.1412,-0.1569,0.236,0.5307
1752689881.1351411,-0.0525,0.0038,-1.0148,0.35,0.0963,-2.975,-0.1536,0.238,0.5337
1752689881.188535,-0.0522,0.0031,-1.0123,0.035,-0.07,-2.8875,-0.1611,0.2377,0.5279
1752689881.2528799,-0.0535,0.0038,-1.0121,0.315,-0.1925,-3.0713,-0.1588,0.2461,0.5341
1752689881.2906575,-0.0512,0.0027,-1.0111,0.0788,-0.0525,-3.3163,-0.1593,0.2395,0.5305
1752689881.338978,-0.0533,0.0036,-1.0145,0.2538,-0.07,-3.1063,-0.1583,0.239,0.53
1752689881.3936343,-0.0542,0.004,-1.015,0.3675,-0.3237,-2.9925,-0.1561,0.2423,0.5335
1752689881.4421475,-0.0536,0.0044,-1.0148,0.1138,-0.1138,-3.2462,-0.1509,0.239,0.5293
1752689881.4956822,-0.055,0.0011,-1.0136,0.1575,-0.1225,-3.0275,-0.1579,0.2397,0.5257
1752689881.5442252,-0.0544,0.0034,-1.0131,0.105,-0.2538,-2.9575,-0.155,0.2401,0.5341
1752689881.597823,-0.0529,0.0055,-1.0138,0.2013,-0.0613,-3.2113,-0.1613,0.2398,0.5358
1752689881.6460848,-0.0589,0.0037,-1.0103,0.2538,-2.2138,-3.0188,-0.1515,0.2409,0.5313
1752689881.6997993,-0.0544,0.0039,-1.0149,0.175,-0.1575,-2.9925,-0.1537,0.238,0.5286
1752689881.7639966,-0.0532,0.0022,-1.0119,0.0963,-0.0438,-3.1063,-0.156,0.2359,0.5302
1752689881.8029466,-0.0562,0.0052,-1.0126,0.245,-0.175,-3.1063,-0.1588,0.2352,0.5384
1752689881.851263,-0.0523,0.0033,-1.0152,0.2625,-0.1488,-3.0275,-0.1548,0.2405,0.5265
1752689881.904818,-0.054,0.001,-1.0127,0.4638,0.0,-3.1325,-0.1547,0.2358,0.5271
1752689881.9532714,-0.0534,0.0028,-1.0119,0.1225,-0.0875,-2.765,-0.1511,0.2365,0.5327
1752689882.0071044,-0.053,0.0039,-1.0106,0.1138,-0.1488,-2.94,-0.1553,0.2405,0.5309
1752689882.0553253,-0.0533,0.0034,-1.0102,0.455,-0.1225,-3.0625,-0.1571,0.2356,0.5279
1752689882.109965,-0.0544,0.0024,-1.0114,0.3675,0.0438,-3.15,-0.1588,0.2355,0.5352
